#az(d)       el(d) polygon_ids
   8.857365    0.096040   75
 350.792481   -0.081864 3070
  32.080757   -0.377813 2446
  30.212597    0.162746  816
   2.159565   -0.865802 1637
  16.776249    1.114756  121
  32.643799   -0.526483 2452
 335.929991   -0.794958 2898
  32.502637    0.839836  833
 356.505479   -0.106799 3123
  30.664757    0.276762  822
  30.718508    0.852175 1122
  21.051960   -1.013823 1906
  15.874094   -0.110018 1797
  24.656158    0.488642  899
 352.759742   -0.414460 3082
  22.680872   -0.126474 2667
 359.362315   -0.405249 3143
 357.569073    1.047759 1472
 331.830838    0.282383 1260
   7.692129    0.020649   63
   9.849736   -0.494303 1707
 347.245789   -0.095754 3047
 353.477471   -0.986523 3088
  35.440389   -0.547579 2470
  25.868028   -0.831319 2553
 338.613304   -0.238896 2971
   5.583403    1.021582   44
  34.938318   -0.347391 2465
   6.348093   -0.153236 2246
   1.299139    0.584937   14
  10.772941    0.498754   93
  31.983431   -0.938342 2446
  22.556780    0.048199 1070
   7.789838    0.108924   63
  33.909897    0.610530  841
 352.273804    0.744907 1429
 359.829712    0.174200 1491
  20.906361   -0.306983 2122
  13.708720   -0.044254 1800
   8.824822    0.726038   75
 334.672992    0.887863 1233
 349.045672   -0.594991 3219
 354.866486    0.166290 1454
  19.744793    0.669390  202
  20.133617    0.102142  480
  11.706035    0.238407   99
  17.363790    1.022968  385
  29.331469   -0.599126 2428
 354.357717   -0.713453 3097
   6.321366   -0.181090 2246
  35.648663    0.047966 1138
 340.085705    0.113256 1317
  35.648663    0.047966 1138
   7.353250   -0.987406 1679
 355.988312    0.800767 1466
  15.130787   -0.395333 1769
 334.393596    0.625830 1225
  16.549853   -0.358390 1807
 343.658328   -0.649602 3021
  33.541103    0.036754  839
   1.144625    0.790835   12
  24.394253   -0.042582 2519
  31.907145   -0.525238 2446
 346.142639    0.582408 1379
 356.855530   -0.721236 3121
   4.299869    0.169208   36
  35.253944    0.029633  852
   0.594734   -0.262753 1627
  30.249489   -0.866311 2429
   7.086158    0.542894   57
   3.474343   -0.153659 1646
  22.404273   -0.653300 2030
  23.947054   -1.088999 2477
 349.805298   -0.432730 3064
 359.207214    0.773538 1491
  13.106013    0.714205  111
 350.053467    0.334303 1410
 352.205566   -0.587476 3079
 358.121582    0.682318 1482
 345.908600   -0.807792 3035
  16.328247   -0.323897 1760
  33.551662   -0.476397 2453
  10.308847   -0.198172 1710
 358.755707    0.911622 1488
   4.230495   -0.115526 2240
 341.521433   -0.090106 3002
  16.123972   -0.616112 1760
 352.673248   -0.204846 3082
  13.147975    0.497545  111
  14.487646   -0.215496 1773
  25.890337   -0.213719 2735
 345.120697   -0.294349 3032
 348.855286   -0.560517 3055
  33.643852    0.740839  841
  28.488747    0.523851  808
  15.382417   -0.238600 2292
  34.218268   -0.234449 2461
  33.224047    0.747346  839
  35.579906   -0.508257 2470
   9.021929    0.271866   75
 349.310089   -0.081957 3062
  29.431620   -0.364847 2428
  29.259321    0.084735  813
  26.626131    0.899008 1048
  17.173286    1.146743  388
   6.774586    0.416995   57
 351.145349    0.059719 1415
 354.798325    0.729465 1454
 357.555542   -0.691856 3126
  27.025703   -0.256157 2491
  13.224282   -0.541867 1731
 354.168823    0.631172 1447
  33.144737   -0.871033 2452
  21.089559    0.366197  354
 353.733032    0.530366 1441
   6.740685    0.826496   57
  20.560385   -0.730001 1843
 346.538513   -0.541919 3040
  31.032196    0.053376  826
  33.744201    0.475539  841
   4.438541    0.266639   36
   3.326042   -0.771134 1646
 351.806763    0.068465 1423
 349.763733    0.671813 1403
 344.736694    0.830697 1367
 350.776123    0.229197 1415
 347.652100    0.014794 1389
   2.807341    0.342323   25
  16.242510   -1.086892 1789
  17.253609    0.026989  293
  24.376327    1.074465  897
 348.324493   -0.289722 3055
 358.085327   -0.566809 3136
  20.241945    0.034711  455
  26.664686    0.433028  893
  32.901775    0.828669  839
  23.551230   -0.501143 2829
 350.659977    0.840492 1415
   7.061979    0.872902   57
  27.405872   -0.572003 2585
  17.828525   -0.901741 1980
  26.913916   -1.091992 2598
 356.961090   -0.177705 3128
  11.439869    0.683944   99
  30.253160    0.345012  822
  30.220915    0.132753  816
  19.045575   -0.726158 1930
   9.389925   -0.654724 1702
  24.525570   -1.196717 2472
