#az(d)       el(d) polygon_ids
  26.500210   -1.191204 2559
 345.418488   -0.010386 3201
  29.178284    0.803114  813
  22.542078    1.071708  892
   9.082007    0.084836   75
  29.695328   -0.031865 2429
  33.265751    0.636631  839
  33.152718    0.788661  839
  28.166958    0.868929  808
 334.617218    0.250624 1233
 340.782715    0.450948 1326
 352.526337    0.004145 1429
 352.606079   -0.669799 3082
 331.830536    0.908152 1208
  10.790837   -0.544555 1710
 350.476898   -0.804835 3066
  17.084808   -1.371876 2358
 347.410492    0.417727 1389
  30.404146   -0.173975 2435
 336.039276   -0.256644 2898
  16.940090   -0.618551 1879
 359.938355    0.270974 1491
 344.715363   -0.440362 3028
 333.849853   -0.034416 2878
  15.525495   -0.343100 2097
   6.032542   -1.010390 1666
 349.375519    0.359581 1403
 333.503876    0.007872 1224
 353.786194    0.439553 1441
 357.777283   -0.826718 3126
 346.777191   -0.100046 3042
  15.819953    1.232825  126
  20.866165   -1.067989 1799
 343.512848   -0.704704 3017
  18.472313    0.955898  365
   4.048489    0.282701   33
  11.789654   -0.608248 1721
 352.835053   -0.660906 3082
  21.766960    0.459325  246
 335.063721    0.608118 1233
   8.610987   -0.157308 1690
  33.111893   -0.387309 2453
 335.640137    0.111109 1243
  30.837746    0.312284  822
   0.081693    0.746670    0
  30.820883   -0.679627 2435
 349.706329    0.263460 1403
  17.422548   -1.257893 2358
 357.337128    0.028983 1470
 345.975830    0.533799 1379
 348.262726    0.932576 1390
 337.447968    0.019254 1256
 338.485291   -0.436867 2971
 346.802612   -0.089402 3208
  12.649329    0.582044  111
 332.528015    0.522801 1217
 350.823883   -0.626924 3066
 354.188171    0.543998 1447
  20.435617    1.173025  148
  22.659836   -0.683579 2665
 354.440521    0.123231 1447
  24.234785    0.673460 1022
 346.960297   -0.149773 3047
 352.083862    0.156558 1429
 350.296387    0.229160 1410
 342.894562   -0.147353 3014
 350.386352   -0.750608 3066
  24.411076   -1.121813 2472
  20.744642    0.187194  340
  16.067524   -0.024740 1797
  25.647673    1.302425 1201
 334.899567    0.617929 1233
  24.913902   -0.042229 2511
   6.602530   -0.591572 2246
 334.273743    0.633070 1229
  32.160938   -0.960375 2446
  17.612263    0.646699  373
  18.452795   -0.603190 1894
  14.265687   -0.428985 1746
   3.996050   -0.992051 1647
  24.288591   -0.687143 2698
 358.032898   -0.406900 3136
 332.131714    0.388926 1210
 338.851013    0.074449 1309
 338.541046   -0.598563 2971
 353.187866    0.006922 1435
 334.691681   -0.141725 2883
 359.232117   -0.555457 3143
  21.378735   -0.231059 1756
  29.232405   -0.035268 2428
  35.492756    0.683311  848
 354.670563    0.528189 1454
  33.732284   -0.742039 2453
 344.485596    0.158566 1548
 349.872223   -0.398335 3064
  33.049602   -0.798615 2452
  27.460066   -1.134492 2537
 355.020782    0.968641 1449
  25.783882    0.920221 1201
  20.259586   -0.470010 2005
  19.758388    0.018147  136
 345.847992   -0.701128 3038
 348.665436   -0.380011 3055
 332.355988   -0.053582 2869
  11.924422    0.661538   99
 337.478394   -0.062475 2956
  22.151770    0.635850  234
 344.562592   -0.749954 3028
 346.160553   -0.869598 3035
  20.280922   -1.330534 1799
 350.933014   -0.086663 3069
 343.061371   -0.762840 3014
  25.829706    0.022988  924
  23.709494    0.593642 1025
 334.473877   -0.632387 2883
 338.821716   -0.567008 2971
  13.799835    0.524360  116
   6.307746   -0.749873 1666
  17.491417    1.178723  371
 331.682678    0.425323 1260
 343.519226   -0.814248 3017
  12.032463    0.002119   99
  30.732405   -0.489810 2435
  20.284365    0.093619  455
 348.196655   -0.449385 3051
  35.344563   -0.183545 2470
 340.222168    0.476307 1317
 340.437622   -0.652894 2986
 341.126648    0.622096 1326
 349.858551    0.854885 1410
 343.323883   -0.261362 3014
  12.455087    0.437991  107
  33.064182    0.668839  839
 354.916046    0.327231 1454
   7.614062   -0.293887 2256
  33.560741   -0.947334 2453
 342.892090   -0.695576 3004
 344.261932   -0.085010 3028
 352.472290   -0.006112 3082
 356.676788   -0.025076 3123
   7.804347    0.172326   63
  33.840324   -0.770674 2458
 358.137909   -0.257587 3136
  25.342705    0.273639  881
  10.661545   -0.707249 1710
   1.638969   -0.248141 1637
  13.489963    0.967485  115
  14.684926    0.447901  159
   3.466430   -0.989132 1643
 332.566071   -0.353022 2869
   3.236795   -0.003853 1646
  20.253153    1.142464  203
  17.468191    0.114822  291
   0.766056    0.579586    8
 350.059662   -0.369727 3064
 350.786438   -0.799528 3066
 339.823303    0.677922 1320
   8.857365    0.096040   75
 350.792481   -0.081864 3070
  32.080757   -0.377813 2446
  30.212597    0.162746  816
   2.159565   -0.865802 1637
  16.776249    1.114756  121
  32.643799   -0.526483 2452
 335.929991   -0.794958 2898
  32.502637    0.839836  833
 335.883057   -0.996760 2898
 337.978149   -0.633606 2965
 356.505479   -0.106799 3123
  30.664757    0.276762  822
 342.645386   -0.493530 3004
  30.718508    0.852175 1122
  21.051960   -1.013823 1906
  15.874094   -0.110018 1797
 331.508026    0.392668 1206
  24.656158    0.488642  899
 342.910858   -0.004089 3014
 342.630951   -0.767937 3004
 352.759742   -0.414460 3082
  22.680872   -0.126474 2667
 359.362315   -0.405249 3143
 357.569073    1.047759 1472
 331.830838    0.282383 1260
 333.895264   -1.004194 2878
   7.692129    0.020649   63
 343.544281    0.271000 1354
 342.337952   -0.117978 3004
   9.849736   -0.494303 1707
 347.245789   -0.095754 3047
 353.477471   -0.986523 3088
  35.440389   -0.547579 2470
  25.868028   -0.831319 2553
 338.613304   -0.238896 2971
   5.583403    1.021582   44
 342.752869   -0.888536 3004
  34.938318   -0.347391 2465
   6.348093   -0.153236 2246
 332.355438    0.230240 1210
 333.982117   -0.653774 2878
   1.299139    0.584937   14
  10.772941    0.498754   93
  31.983431   -0.938342 2446
  22.556780    0.048199 1070
   7.789838    0.108924   63
 331.880096    0.671521 1210
  33.909897    0.610530  841
 352.273804    0.744907 1429
 359.829712    0.174200 1491
  20.906361   -0.306983 2122
 335.359039   -0.313535 2889
  13.708720   -0.044254 1800
   8.824822    0.726038   75
 334.672992    0.887863 1233
 349.045672   -0.594991 3219
 354.866486    0.166290 1454
  19.744793    0.669390  202
  20.133617    0.102142  480
  11.706035    0.238407   99
  17.363790    1.022968  385
  29.331469   -0.599126 2428
 354.357717   -0.713453 3097
   6.321366   -0.181090 2246
  35.648663    0.047966 1138
 340.085705    0.113256 1317
  35.648663    0.047966 1138
   7.353250   -0.987406 1679
 355.988312    0.800767 1466
  15.130787   -0.395333 1769
 334.393596    0.625830 1225
  16.549853   -0.358390 1807
 343.658328   -0.649602 3021
  33.541103    0.036754  839
   1.144625    0.790835   12
  24.394253   -0.042582 2519
 342.657772    0.911340 1348
  31.907145   -0.525238 2446
 346.142639    0.582408 1379
 356.855530   -0.721236 3121
   4.299869    0.169208   36
  35.253944    0.029633  852
 342.860107   -0.781285 3004
   0.594734   -0.262753 1627
  30.249489   -0.866311 2429
   7.086158    0.542894   57
   3.474343   -0.153659 1646
  22.404273   -0.653300 2030
  23.947054   -1.088999 2477
 333.568220   -0.351520 2878
 334.281189   -0.846798 2878
 337.833404    0.729218 1306
 334.745453    0.119998 1233
 349.805298   -0.432730 3064
 359.207214    0.773538 1491
  13.106013    0.714205  111
 350.053467    0.334303 1410
 352.205566   -0.587476 3079
 332.458343    0.109550 1210
 358.121582    0.682318 1482
 345.908600   -0.807792 3035
  16.328247   -0.323897 1760
  33.551662   -0.476397 2453
 334.485413    0.595726 1233
  10.308847   -0.198172 1710
 358.755707    0.911622 1488
   4.230495   -0.115526 2240
 337.265442   -0.724409 2952
 331.975098    0.539124 1210
 341.521433   -0.090106 3002
  16.123972   -0.616112 1760
 352.673248   -0.204846 3082
  13.147975    0.497545  111
  14.487646   -0.215496 1773
  25.890337   -0.213719 2735
 345.120697   -0.294349 3032
 348.855286   -0.560517 3055
  33.643852    0.740839  841
 337.195751   -1.025520 2942
  28.488747    0.523851  808
 343.873077   -0.131691 3024
 332.503082   -0.142118 2869
  14.588450   -1.257137 1898
  15.382417   -0.238600 2292
  34.218268   -0.234449 2461
  33.224047    0.747346  839
  35.579906   -0.508257 2470
   9.021929    0.271866   75
 349.310089   -0.081957 3062
  29.431620   -0.364847 2428
  29.259321    0.084735  813
  26.626131    0.899008 1048
  17.173286    1.146743  388
   6.774586    0.416995   57
 351.145349    0.059719 1415
 354.798325    0.729465 1454
 357.555542   -0.691856 3126
  27.025703   -0.256157 2491
  13.224282   -0.541867 1731
 354.168823    0.631172 1447
  33.144737   -0.871033 2452
 336.905273    0.106928 1253
  21.089559    0.366197  354
 333.922280    0.566869 1229
 353.733032    0.530366 1441
 336.892487    0.896546 1253
   6.740685    0.826496   57
  20.560385   -0.730001 1843
 346.538513   -0.541919 3040
 340.569214   -0.613966 2986
  31.032196    0.053376  826
  33.744201    0.475539  841
   4.438541    0.266639   36
   3.326042   -0.771134 1646
 351.806763    0.068465 1423
 349.763733    0.671813 1403
 344.736694    0.830697 1367
 350.776123    0.229197 1415
 347.652100    0.014794 1389
 337.652039    0.071580 1302
 341.247681    0.009293 1326
  19.958771    1.253996  203
   2.807341    0.342323   25
  16.242510   -1.086892 1789
  17.253609    0.026989  293
