# ra            dec         
  3.4664297     -0.9891323  
  335.2553711   -0.6206504  
  22.2061901    0.0955272   
  337.7215881   0.1705787   
  33.0496025    -0.7986148  
  29.3741188    0.0427305   
  18.30159      -0.5869125  
  7.966095      -0.9764176  
  24.3977871    -0.7898342  
  13.7202339    -0.2290491  
  0.3255683     -0.854086   
  10.578001     0.5436277   
  354.6893921   -0.058844   
  34.2398491    -0.5497743  
  337.8869019   -0.7244882  
  359.1445923   -0.7510436  
  21.6787987    0.0441689   
  354.664856    -0.4067445  
  5.0468183     -0.7551984  
  337.5151062   0.3866561   
  34.4591179    -0.5085117  
  339.6742554   -0.018121   
  30.6375256    0.2793992   
  31.7461224    0.5018759   
  26.5832291    -0.7746695  
  334.4398804   -0.8237292  
  29.7656021    -0.5046132  
  357.7950745   0.0392351   
  18.9691486    0.1002639   
  17.5100498    0.2000566   
  8.8553877     0.667428    
  26.2989674    -0.7247114  
  358.7936401   -0.7781897  
  24.5512791    -0.3967719  
  27.5737858    0.4840246   
  34.8938675    -0.0529338  
  354.8664856   0.1662902   
  23.205761     0.4408569   
  13.501317     -0.6055483  
  4.1351576     0.2393406   
  26.3149319    0.4919718   
  0.3979754     -0.7018936  
  25.5614681    0.3900614   
  8.6599531     0.2381552   
  19.5794506    -0.983513   
  348.0413513   -0.9496344  
  342.7406311   -0.9418207  
  2.6974325     -7.042E-4   
  347.2265625   -0.6442708  
  343.4908142   -0.6911213  
  3.8356116     0.4546146   
  332.656189    0.5487369   
  344.9320679   0.5473647   
  346.1729736   0.5520066   
  6.1083217     0.6366271   
  1.9548669     0.6887803   
  334.9925537   0.6192012   
  14.2641239    0.2356233   
  31.9278641    -0.0427582  
  34.6807938    0.2027092   
  33.0594368    -0.7510455  
  345.2370911   -0.8596444  
  359.3265076   0.7306535   
  337.2569885   -0.9773202  
  33.1963577    0.0274092   
  31.8318958    -0.3333003  
  15.2542171    0.6551492   
  9.8522587     0.4170943   
  332.2378235   -0.0975601  
  352.6732483   -0.2048457  
  3.5539243     -0.3507304  
  350.6257019   0.2087086   
  335.7758789   -0.379553   
  334.9377747   0.6189226   
  33.3385658    -0.3722529  
  13.4527044    -0.3658946  
  20.0832958    0.1265581   
  33.4976425    -0.5132601  
  334.4729614   -0.5485945  
  357.723114    -0.8028441  
  350.9705811   -0.6618778  
  343.2263794   0.6155949   
  335.0375061   -0.3954578  
  341.2476807   0.0092926   
  23.4666481    -0.2864172  
  4.9585762     -0.6780077  
  343.5801086   -0.0319584  
  353.2509155   -0.3418148  
  29.8978539    0.0670154   
  29.8461723    -0.6847011  
  339.6815491   0.2799917   
  11.8216658    -0.0149258  
  336.2882996   -0.235228   
  347.4678955   -0.5275117  
  2.9949799     -0.6181777  
  357.3887329   0.3157917   
  35.6642265    -0.9684093  
  341.9529724   0.2009943   
  7.8043475     0.1723256   
  347.2615356   -0.109467   
  33.4650269    -0.8139322  
  346.5987549   -0.7697887  
  3.0007627     0.1472385   
  13.5061798    0.4799342   
  16.5509205    0.3222631   
  16.566906     0.2566644   
  8.2351542     0.3474234   
  351.3451538   -0.4108709  
  334.162262    0.6762864   
  356.0316772   -0.98132    
  341.1266479   0.6220958   
  359.6382751   0.6468028   
  9.6599054     -0.1245179  
  12.4550867    0.4379913   
  344.9438477   0.2948855   
  16.2550068    0.1100745   
  30.6647568    0.2767622   
  2.1595647     -0.8658016  
  358.9422607   -0.3952637  
  6.0734015     0.146171    
  25.1626759    -0.7699388  
  35.5964508    -0.3274155  
  356.008667    0.0679375   
  355.9734802   -0.7474197  
  16.1239719    -0.6161125  
  8.9410858     0.3849532   
  23.9852257    -0.2756832  
  357.7411499   -0.8694215  
  355.291687    -0.6997564  
  342.4836731   0.0383676   
  355.3657532   -0.5638095  
  337.3305359   -0.3160759  
  351.4894409   -0.9162061  
  27.5509415    0.2729957   
  33.3134346    0.2168419   
  10.7264261    0.0826829   
  345.7360229   -0.606145   
  350.374176    -0.412715   
  24.090229     -0.2040983  
  345.845459    -0.6725618  
  354.0199585   0.4431818   
  354.6221008   -0.9927491  
  33.066597     0.605918    
  27.7396755    -0.7631863  
  350.5056458   0.009827    
  345.8447876   -0.2439687  
  7.0685692     -0.8851127  
  10.4765568    -0.4988594  
  358.5858459   -0.5927929  
  19.0029926    -0.0161742  
  22.6260357    -0.2244238  
  21.9657536    -0.5210704  
  6.9947262     -0.3232643  
  8.6092968     0.4338955   
  331.4885864   0.2027349   
  354.8365479   0.4307883   
  351.3604431   0.4045389   
  343.1825256   -0.6970577  
  354.8750305   0.5048007   
  16.3516521    -0.4242043  
  14.2286997    -0.535462   
  34.7464828    0.2253228   
  2.672071      -0.4139172  
  355.9398499   -0.3496856  
  21.9982853    -0.0242651  
  11.4019651    -0.0050547  
  20.2419453    0.034711    
  17.2536087    0.0269886   
  16.6167355    -0.4283552  
  345.6882019   0.1065118   
  14.3929834    -0.3041532  
  18.1023064    -0.141077   
  333.9821167   -0.6537743  
  28.368742     0.1639178   
  23.5512295    -0.5011432  
  2.8073409     0.3423231   
  355.246521    0.0049845   
  339.7437744   -0.9738411  
  350.0596619   -0.3697272  
  339.473877    0.1133681   
  23.2891674    1.1842204   
  336.686615    0.8388838   
  26.6261311    0.8990079   
  30.7185078    0.8521748   
  7.4546394     0.7616557   
  33.4820824    0.8260416   
  7.549089      0.7972193   
  344.1014404   0.7889502   
  339.2066956   0.9037588   
  27.5649166    0.7654746   
  342.894989    0.7911655   
  331.9922791   0.8139327   
  15.8620768    0.9274049   
  34.4592361    0.8149394   
  3.0450737     0.8863808   
  346.215332    0.8597634   
  332.579071    -0.2663618  
  27.0047054    0.3634568   
  344.5857849   -0.3794751  
  337.1487122   0.85139     
  346.7609558   0.6801124   
  334.4854126   0.5957265   
  342.6995544   0.2706288   
  334.5957031   -0.9215064  
  334.2738037   -0.2187879  
  334.9305115   0.6884593   
  338.8983154   0.6005672   
  337.1132507   0.5614853   
  11.8180885    -0.5972851  
