#      az(d)       el(d) polygon_ids
   3.466430   -0.989132 1643
 335.255371   -0.620650 2889
  22.206190    0.095527  191
 337.721588    0.170579 1302
  33.049603   -0.798615 2452
  29.374119    0.042730  813
  18.301590   -0.586913 1974
   7.966095   -0.976418 1685
  24.397787   -0.789834 2699
  13.720234   -0.229049 1800
   0.325568   -0.854086 1624
  10.578001    0.543628   86
 354.689392   -0.058844 3105
  34.239849   -0.549774 2461
 337.886902   -0.724488 2965
 359.144592   -0.751044 3145
  21.678799    0.044169  589
 354.664856   -0.406745 3105
   5.046818   -0.755198 1653
 337.515106    0.386656 1302
  34.459118   -0.508512 2465
 339.674255   -0.018121 2981
  30.637526    0.279399  822
  31.746122    0.501876  830
  26.583229   -0.774670 2547
 334.439880   -0.823729 2883
  29.765602   -0.504613 2429
 357.795074    0.039235 1477
  18.969149    0.100264  573
  17.510050    0.200057  291
   8.855388    0.667428   75
  26.298967   -0.724711 2553
 358.793640   -0.778190 3140
  24.551279   -0.396772 2519
  27.573786    0.484025  804
  34.893867   -0.052934 2465
 354.866486    0.166290 1454
  23.205761    0.440857  927
  13.501317   -0.605548 1731
   4.135158    0.239341   36
  26.314932    0.491972 1038
   0.397975   -0.701894 1624
  25.561468    0.390061  877
   8.659953    0.238155   68
  19.579451   -0.983513 1861
 348.041351   -0.949634 3049
 342.740631   -0.941821 3004
   2.697432   -0.000704 1641
 347.226562   -0.644271 3047
 343.490814   -0.691121 3014
   3.835612    0.454615   30
 332.656189    0.548737 1217
 344.932068    0.547365 1367
 346.172974    0.552007 1379
   6.108322    0.636627   51
   1.954867    0.688780   19
 334.992554    0.619201 1233
  14.264124    0.235623  151
  31.927864   -0.042758 2446
  34.680794    0.202709  847
  33.059437   -0.751045 2452
 345.237091   -0.859644 3032
 359.326508    0.730654 1491
 337.256988   -0.977320 2908
  33.196358    0.027409  839
  31.831896   -0.333300 2446
  15.254217    0.655149  552
   9.852259    0.417094   81
 332.237823   -0.097560 2869
 352.673248   -0.204846 3082
   3.553924   -0.350730 1646
 350.625702    0.208709 1410
 335.775879   -0.379553 2898
 334.937775    0.618923 1233
  33.338566   -0.372253 2453
  13.452704   -0.365895 1731
  20.083296    0.126558  480
  33.497643   -0.513260 2453
 334.472961   -0.548594 2883
 357.723114   -0.802844 3126
 350.970581   -0.661878 3066
 343.226379    0.615595 1354
 335.037506   -0.395458 2889
 341.247681    0.009293 1326
  23.466648   -0.286417 2564
   4.958576   -0.678008 1653
 343.580109   -0.031958 3024
 353.250916   -0.341815 3091
  29.897854    0.067015  816
  29.846172   -0.684701 2429
 339.681549    0.279992 1313
  11.821666   -0.014926 1719
 336.288300   -0.235228 2905
 347.467895   -0.527512 3047
   2.994980   -0.618178 1641
 357.388733    0.315792 1477
  35.664227   -0.968409 2469
 341.952972    0.200994 1333
   7.804347    0.172326   63
 347.261536   -0.109467 3047
  33.465027   -0.813932 2453
 346.598755   -0.769789 3040
   3.000763    0.147238   25
  13.506180    0.479934  116
  16.550921    0.322263  212
  16.566906    0.256664  212
   8.235154    0.347423   68
 351.345154   -0.410871 3069
 334.162262    0.676286 1229
 356.031677   -0.981320 3116
 341.126648    0.622096 1326
 359.638275    0.646803 1491
   9.659905   -0.124518 1707
  12.455087    0.437991  107
 344.943848    0.294885 1367
  16.255007    0.110075  205
  30.664757    0.276762  822
   2.159565   -0.865802 1637
 358.942261   -0.395264 3140
   6.073402    0.146171   45
  25.162676   -0.769939 2644
  35.596451   -0.327415 2470
 356.008667    0.067937 1460
 355.973480   -0.747420 3118
  16.123972   -0.616112 1760
   8.941086    0.384953   75
  23.985226   -0.275683 2524
 357.741150   -0.869421 3126
 355.291687   -0.699756 3113
 342.483673    0.038368 1340
 355.365753   -0.563810 3113
 337.330536   -0.316076 2952
 351.489441   -0.916206 3067
  27.550942    0.272996  803
  33.313435    0.216842  839
  10.726426    0.082683   86
 345.736023   -0.606145 3038
 350.374176   -0.412715 3066
  24.090229   -0.204098 2519
 345.845459   -0.672562 3038
 354.019958    0.443182 1447
 354.622101   -0.992749 3240
  33.066597    0.605918  839
  27.739675   -0.763186 2410
 350.505646    0.009827 1410
 345.844788   -0.243969 3038
   7.068569   -0.885113 1671
  10.476557   -0.498859 1710
 358.585846   -0.592793 3140
  19.002993   -0.016174 2175
  22.626036   -0.224424 2667
  21.965754   -0.521070 2166
   6.994726   -0.323264 2252
   8.609297    0.433895   68
 331.488586    0.202735 1204
 354.836548    0.430788 1454
 351.360443    0.404539 1423
 343.182526   -0.697058 3014
 354.875030    0.504801 1454
  16.351652   -0.424204 1760
  14.228700   -0.535462 2061
  34.746483    0.225323  847
   2.672071   -0.413917 1641
 355.939850   -0.349686 3118
  21.998285   -0.024265 2211
  11.401965   -0.005055 1716
  20.241945    0.034711  455
  17.253609    0.026989  293
  16.616736   -0.428355 1805
 345.688202    0.106512 1375
  14.392983   -0.304153 1773
  18.102306   -0.141077 2076
 333.982117   -0.653774 2878
  28.368742    0.163918  808
  23.551230   -0.501143 2829
   2.807341    0.342323   25
 355.246521    0.004985 1454
 339.743774   -0.973841 2980
 350.059662   -0.369727 3064
 339.473877    0.113368 1313
  23.289167    1.184220  872
 336.686615    0.838884 1253
  26.626131    0.899008 1048
  30.718508    0.852175 1122
   7.454639    0.761656   63
  33.482082    0.826042  841
   7.549089    0.797219   63
 344.101440    0.788950 1548
 339.206696    0.903759 1313
  27.564917    0.765475  804
 342.894989    0.791165 1348
 331.992279    0.813933 1210
  15.862077    0.927405  490
  34.459236    0.814939  847
   3.045074    0.886381   25
 346.215332    0.859763 1379
 332.579071   -0.266362 2869
  27.004705    0.363457  802
 344.585785   -0.379475 3028
 337.148712    0.851390 1256
 346.760956    0.680112 1384
 334.485413    0.595726 1233
 342.699554    0.270629 1348
 334.595703   -0.921506 2883
 334.273804   -0.218788 2883
 334.930512    0.688459 1233
 338.898315    0.600567 1309
 337.113251    0.561485 1253
  11.818089   -0.597285 1719
 348.594421   -0.837765 3055
 344.792816    0.851004 1367
 332.506134   -0.206317 2869
 347.916596   -0.082752 3051
 343.357697   -0.491746 3014
 347.501556   -0.724178 3210
